stream,event_ns,arrival_ns,accuracy,v0,v1,v2,v3,v4,v5
magnetic_field_uncalibrated,287043727573906,287043736363369,3,17.218000,-20.212002,-144.051010,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043727573906,287043736566299,3,-0.071471,-0.004276,-0.004276,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043727573906,287043736941299,3,-1.367089,4.819528,8.461109,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043735579882,287043738045283,3,18.071001,-19.583000,-144.167007,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043735579882,287043738245283,3,-0.061697,-0.006720,0.001222,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043735579882,287043738598486,3,-1.398214,4.793192,8.528147,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043743591757,287043748818955,3,17.920000,-20.228001,-142.976013,7.644001,24.008001,-125.220009
gyroscope_uncalibrated,287043743591757,287043749029385,3,-0.048869,-0.013439,0.007330,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043743591757,287043749401533,3,-1.403002,4.788404,8.523358,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043751602382,287043754278096,3,17.065001,-19.212002,-142.434006,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043751602382,287043754328643,3,-0.040928,-0.018937,0.012828,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043751602382,287043754361729,3,-1.395820,4.802769,8.511387,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043759614296,287043763314775,3,16.467001,-19.197001,-145.129013,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043759614296,287043763624971,3,-0.034819,-0.021380,0.017104,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043759614296,287043764141924,3,-1.391031,4.812346,8.499416,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043767624375,287043770111104,3,15.430000,-20.936001,-144.360001,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043767624375,287043770173252,3,-0.029932,-0.018326,0.021991,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043767624375,287043770258096,3,-1.383849,4.807557,8.485051,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043775637304,287043777923838,3,16.339001,-21.384001,-142.636002,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043775637304,287043777976611,3,-0.025656,-0.020159,0.020159,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043775637304,287043777994111,3,-1.376666,4.821922,8.504205,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043783650507,287043785856611,3,17.699001,-21.803001,-143.076004,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043783650507,287043785924658,3,-0.024435,-0.031765,0.016493,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043783650507,287043785941338,3,-1.364695,4.814740,8.508993,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043791661953,287043794362354,3,17.753000,-20.976002,-143.187012,7.644001,24.008001,-125.219009
gyroscope_uncalibrated,287043791661953,287043794424541,3,-0.023213,-0.035430,0.016493,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043791661953,287043794436924,3,-1.367089,4.812346,8.516175,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043799673085,287043802250479,3,17.296001,-20.755001,-144.373001,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043799673085,287043802316650,3,-0.021380,-0.039095,0.012828,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043799673085,287043802332705,3,-1.355118,4.821922,8.492233,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043807682031,287043810158291,3,16.272001,-20.574001,-143.395004,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043807682031,287043810224150,3,-0.022602,-0.035430,0.011606,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043807682031,287043810244932,3,-1.357512,4.821922,8.480263,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043815692265,287043818305908,3,16.786001,-19.966002,-141.889999,7.643000,24.007002,-125.220009
gyroscope_uncalibrated,287043815692265,287043818383760,3,-0.023213,-0.031765,0.013439,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043815692265,287043818408994,3,-1.362301,4.819528,8.489840,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043823700351,287043825853135,3,17.496000,-21.366001,-143.076004,7.644001,24.007002,-125.220009
gyroscope_uncalibrated,287043823700351,287043825916494,3,-0.022602,-0.026267,0.012828,0.004887,0.003665,0.000000
accelerometer_uncalibrated,287043823700351,287043825937627,3,-1.357512,4.814740,8.528147,0.000000,0.000000,0.000000
magnetic_field_uncalibrated,287043831711015,287043834308994,3,17.455000,-21.836000,-144.477005,7.644001,24.007002,-125.219009
gyroscope_uncalibrated,287043831711015,287043834382588,3,-0.019548,-0.010385,0.014661,0.004887,0.003665,0.000000
